Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
e210e543-584e-42a1-a5ed-7011ced14ef8,659016,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,234,1.0,Email Bounced,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,invalid number,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Modified
d7e939fb-2e60-4293-a0c8-d0202db10096,658546,Landing Page Submission,Organic Search,No,No,1,12.0,1411,6.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities,01.High,02.Medium,16.0,16.0,No,Yes,Email Opened
97874d2b-8b23-4b0d-9bb8-0a0494792743,658531,API,Organic Search,No,No,1,6.0,385,6.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,15.0,16.0,No,No,Modified
c693a352-3702-4165-a1f9-fa96a34c9bf3,658353,API,Organic Search,No,No,0,8.0,14,8.0,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Worst,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Modified
c800a9c6-9f91-42f4-88e7-c4f9023d6f88,658277,Landing Page Submission,Direct Traffic,No,No,1,1.0,1106,1.0,Converted to Lead,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities,02.Medium,02.Medium,15.0,16.0,No,Yes,Modified
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,660547,API,Organic Search,No,No,1,6.0,1012,6.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
c4419c99-b002-408b-a6fd-fa100716592c,660479,Landing Page Submission,Google,No,No,0,1.0,233,1.0,Unreachable,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,13.0,17.0,No,No,Modified
8fd38b83-5c32-4277-bcfb-499f34a01c56,660471,Landing Page Submission,Google,No,No,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Modified
ecbc6e69-29a9-44bf-804a-13079ef301bc,660461,Landing Page Submission,Google,No,No,0,4.0,771,4.0,Email Link Clicked,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Email Link Clicked
31c326f0-4a9b-43a6-9006-99d3830fbcae,660447,Landing Page Submission,Google,No,No,1,3.0,1068,3.0,Form Submitted on Website,India,Travel and Tourism,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Select,Mumbai,02.Medium,02.Medium,14.0,16.0,No,No,Modified
d6686032-c65e-4495-a0f4-ba7471209356,660236,Landing Page Submission,Google,No,No,1,4.0,25,4.0,Email Opened,India,Operations Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,14.0,19.0,No,No,Email Opened
0327a12a-51cb-4782-a029-cc824e614833,659918,API,Organic Search,No,No,1,7.0,1468,3.5,Page Visited on Website,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified
3ee81e25-e280-428d-94a8-af0178917bf5,659889,Landing Page Submission,Direct Traffic,No,No,1,4.0,1435,4.0,Email Opened,India,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,03.Low,01.High,12.0,18.0,No,Yes,Email Opened
a66b2a39-2f12-4eb4-b6e3-065d88ccf980,659875,Landing Page Submission,Google,No,No,1,1.0,157,1.0,Converted to Lead,India,Hospitality Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities of Maharashtra,02.Medium,02.Medium,15.0,14.0,No,No,Modified
f8497fef-9593-4bb7-898c-9f736a3b67f8,659784,API,Organic Search,No,No,0,6.0,224,6.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified
076801dc-eba3-4c64-b165-dda70397aa19,659567,Landing Page Submission,Direct Traffic,No,No,0,3.0,536,3.0,Unreachable,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,number not provided,Not Sure,No,No,Select,Mumbai,03.Low,01.High,9.0,18.0,No,Yes,Modified
67bc9f1f-53c0-49be-96f9-1d549f0a8717,659371,Landing Page Submission,Google,No,No,1,4.0,1190,4.0,Email Opened,India,Human Resource Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Email Opened
eecf3981-028f-4a83-9801-afa36545a53c,659334,API,Google,No,No,0,2.0,767,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Select,02.Medium,02.Medium,15.0,14.0,No,No,Modified
80182a5a-1a04-49db-acc7-0a3bbea6b88b,659244,Landing Page Submission,Google,No,No,0,4.0,1638,4.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,03.Low,01.High,12.0,18.0,No,Yes,Email Opened
adc01aa8-ee1b-4fc2-9cc7-bf29117241b0,659182,API,Google,No,No,0,1.0,263,1.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Select,02.Medium,02.Medium,14.0,14.0,No,No,Modified
4cc6f35b-bba3-4e7a-90fa-a2a1764a10bb,659106,Landing Page Submission,Google,No,No,1,5.0,1603,5.0,Email Opened,India,Operations Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Email Opened
2d09fce2-eab7-4d6a-b668-eb739cfc5d2d,658852,Landing Page Submission,Direct Traffic,No,No,1,3.0,1010,3.0,Email Opened,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Metro Cities,02.Medium,02.Medium,15.0,16.0,No,Yes,Email Opened
6402d606-839e-4fbd-b1c1-b50a433814c1,658826,Landing Page Submission,Direct Traffic,No,No,1,3.0,1528,1.5,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities,02.Medium,02.Medium,14.0,16.0,No,Yes,Modified
31479eef-bdb8-45d9-a394-8134ed57256b,658744,Landing Page Submission,Direct Traffic,No,No,0,3.0,381,1.5,Page Visited on Website,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Thane & Outskirts,02.Medium,01.High,13.0,17.0,No,Yes,Page Visited on Website
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,660727,Landing Page Submission,Direct Traffic,No,No,1,2.0,1532,2.0,Email Opened,India,Business Administration,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,Yes,Email Opened
3256f628-e534-4826-9d63-4a8b88782852,660681,Landing Page Submission,Google,No,No,1,2.0,1428,1.0,Converted to Lead,India,Select,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified
9fae7df4-169d-489b-afe4-0f3d752542ed,660673,Landing Page Submission,Google,No,No,1,2.0,1640,2.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Modified
2a369e35-ca95-4ca9-9e4f-9d27175aa320,660608,Landing Page Submission,Organic Search,No,No,1,8.0,1351,8.0,Email Opened,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Metro Cities,02.Medium,02.Medium,15.0,14.0,No,Yes,Email Opened
e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,660534,API,Referral Sites,No,No,0,6.0,973,6.0,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,Select,Select,02.Medium,02.Medium,13.0,13.0,No,No,Modified
4512c16a-e96a-4459-b9ec-c7d8fe8c4880,660509,API,Organic Search,No,No,0,3.0,98,3.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified
c494aca4-8c8e-4081-9784-41eb6346015e,660432,Landing Page Submission,Organic Search,No,No,1,4.0,1000,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,03.Low,01.High,11.0,18.0,No,Yes,Email Opened
6d143c0e-abae-425f-a2c0-52c2946cbd45,660424,Landing Page Submission,Google,No,No,1,6.0,1315,6.0,Email Opened,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,19.0,No,No,Email Opened
da8c5ce5-52b5-4a4e-bf75-e533d2aca52c,660402,Landing Page Submission,Direct Traffic,No,No,1,7.0,1174,3.5,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Email Opened
a8ecfc52-9988-498a-9a21-df747891b847,660312,Landing Page Submission,Google,No,No,0,4.0,1622,4.0,Unreachable,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Mumbai,03.Low,01.High,12.0,18.0,No,No,Modified
171defdc-6c7b-4486-9a3b-527de447d2d5,659963,API,Referral Sites,No,No,1,8.0,903,8.0,Page Visited on Website,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,01.High,02.Medium,16.0,15.0,No,No,Page Visited on Website
b90b70b9-5e60-41a5-87da-5eb753fc3391,659931,API,Google,No,No,0,4.0,213,4.0,Form Submitted on Website,India,International Business,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Mumbai,02.Medium,02.Medium,13.0,16.0,No,No,Modified
ee859f2e-a35f-4d2e-980e-8163da8ca667,659853,API,Google,No,No,1,3.0,885,1.5,Had a Phone Conversation,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Had a Phone Conversation
fe6dff62-8217-428b-876a-ec931f251f63,659806,Landing Page Submission,Referral Sites,Yes,No,0,3.0,111,3.0,Email Bounced,India,International Business,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Other Metro Cities,02.Medium,02.Medium,13.0,15.0,No,Yes,Modified
0a943ad9-f3d5-46d7-aca0-3fdab53da0e7,659779,Landing Page Submission,Direct Traffic,No,No,1,2.0,1071,2.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Not Sure,No,No,Select,Other Cities of Maharashtra,03.Low,01.High,12.0,17.0,No,Yes,Email Opened
a739f33a-7d4d-4c4e-9c9c-3c30e1f48940,659727,Landing Page Submission,Google,No,No,1,6.0,595,3.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Email Opened
d4d4ee0a-fea2-4680-b2ea-b24de9fcf0be,659708,API,Google,No,No,0,2.0,393,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Select,02.Medium,02.Medium,14.0,14.0,No,No,Email Opened
bc35eede-4208-461c-827e-11108a378df7,659523,API,Google,No,No,1,5.0,1110,5.0,Olark Chat Conversation,India,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,01.High,02.Medium,16.0,16.0,No,No,Modified
2b742281-ef6f-49ad-8a44-b3a21c60b945,659395,Landing Page Submission,Organic Search,No,No,1,6.0,895,6.0,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Dual Specialization Student,Other Cities of Maharashtra,02.Medium,01.High,14.0,18.0,No,Yes,Email Opened
1de92462-5b3f-401e-b84f-935bb92898f9,659364,API,Google,No,No,1,5.0,727,5.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Dual Specialization Student,Thane & Outskirts,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
95ba6ee3-ebfa-4e88-be00-059e87ec079b,659013,Landing Page Submission,Direct Traffic,No,No,0,3.0,245,3.0,Unreachable,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Thane & Outskirts,02.Medium,01.High,13.0,17.0,No,Yes,Modified
0921ad51-b2bc-4abb-bb66-e9357b16c306,658831,API,Olark Chat,No,No,1,10.0,1815,3.33,Had a Phone Conversation,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,15.0,17.0,No,Yes,Had a Phone Conversation
516cef54-19f1-4f7a-93ae-bc739f870903,658766,API,Google,No,No,0,2.0,351,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Select,02.Medium,02.Medium,13.0,15.0,No,No,Email Opened
ced562dd-a390-4369-b233-04313cc5fa90,658689,Landing Page Submission,Google,No,No,0,5.0,65,5.0,Unreachable,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Thane & Outskirts,02.Medium,01.High,13.0,17.0,No,No,Modified
850fe660-b18e-4ea0-80bf-54f16ffe018a,658571,API,Organic Search,No,No,1,8.0,877,2.67,Email Link Clicked,India,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,02.Medium,14.0,16.0,No,No,Email Link Clicked
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,660719,Landing Page Submission,Direct Traffic,No,No,0,1.0,305,1.0,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,13.0,17.0,No,No,Modified
bc19e116-132c-4e00-a3fa-caa1ddda2f4e,660333,Landing Page Submission,Organic Search,No,No,1,4.0,16,2.0,Page Visited on Website,India,E-COMMERCE,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,17.0,No,Yes,Modified
30422ea1-36fe-465e-9e68-41ee190fefb3,660321,API,Referral Sites,No,No,1,3.0,98,3.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14.0,15.0,No,No,Modified
3ec75559-60f8-46f0-9198-bd3d05c464aa,660222,Landing Page Submission,Organic Search,Yes,No,0,7.0,38,7.0,Unsubscribed,India,Retail Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,02.Medium,01.High,13.0,18.0,No,Yes,Unsubscribed
fd31b6df-f961-43ba-8e81-618ce5aabfe5,660180,Landing Page Submission,Google,No,No,0,4.0,287,2.0,Email Opened,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Email Opened
8597dacd-0b33-4b4f-ad9e-a9df020afd48,660069,Landing Page Submission,Organic Search,No,No,0,6.0,394,2.0,Unreachable,India,E-COMMERCE,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Mumbai,02.Medium,02.Medium,13.0,15.0,No,Yes,Modified
d22bfe40-a444-4e97-b6b7-ccf40117710b,659937,Landing Page Submission,Referral Sites,No,No,0,11.0,685,5.5,Email Opened,India,Services Excellence,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Not Sure,No,No,Select,Thane & Outskirts,03.Low,02.Medium,11.0,13.0,No,Yes,Email Opened
671f2615-8210-4792-abdd-a1588060cd27,659819,Landing Page Submission,Direct Traffic,No,No,0,1.0,1710,1.0,Converted to Lead,India,Retail Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Potential Lead,Thane & Outskirts,01.High,01.High,16.0,19.0,No,Yes,Modified
ecbf9b02-90a1-4b16-b330-6d958dcfcdb2,659696,Landing Page Submission,Google,No,No,1,3.0,1136,3.0,Page Visited on Website,India,IT Projects Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,01.High,02.Medium,16.0,15.0,No,No,Modified
62b4ee1c-1071-42bb-b50d-16412c2acce2,659562,Landing Page Submission,Direct Traffic,No,No,0,4.0,161,2.0,Unreachable,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Select,Select,03.Low,01.High,12.0,17.0,No,No,Unreachable
35d515d8-e851-4629-803e-492c6b576bd6,659507,Landing Page Submission,Direct Traffic,No,No,1,5.0,1563,5.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,Yes,Email Opened
2bfbd79b-c942-4c0f-bed9-704ccf4f4c8e,659079,API,Google,No,No,0,2.0,73,2.0,Unreachable,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Select,Select,03.Low,02.Medium,12.0,15.0,No,No,Modified
a732de28-542e-48c4-abe1-af4067853627,658793,Landing Page Submission,Google,No,No,1,6.0,919,6.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Email Opened
fad4be87-d418-4746-b951-cd405a98b631,658288,API,Organic Search,No,No,0,5.0,358,5.0,Page Visited on Website,United Arab Emirates,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Modified
f942f0fe-55e2-4e23-bae8-346c55278fb0,658264,Landing Page Submission,Direct Traffic,No,No,1,9.0,1953,1.8,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Thane & Outskirts,02.Medium,01.High,15.0,17.0,No,No,Modified
a996259c-fab6-4fb6-bf41-7c68fbb22114,658398,API,Organic Search,No,No,1,5.0,1234,1.67,Email Opened,India,International Business,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,01.High,01.High,16.0,17.0,No,No,Email Opened
e0c1f7c8-b696-4d97-ae42-d3974bccdcb4,657968,Landing Page Submission,Direct Traffic,No,No,1,7.0,116,7.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Email Opened
